"genero","posicion","nombre","id_pelicula"
"BE","17","El puente sobre el río Kwai  (1957)   ","https://www.filmaffinity.com/es/film344734.html"
"BE","18","Sin novedad en el frente  (1930)   ","https://www.filmaffinity.com/es/film541905.html"
"BE","19","Juegos prohibidos  (1952)   ","https://www.filmaffinity.com/es/film978645.html"
"BE","20","La ascensión  (1977)   ","https://www.filmaffinity.com/es/film792232.html"
"BE","21","Malditos bastardos  (2009)   ","https://www.filmaffinity.com/es/film746997.html"
"BE","22","Salvar al soldado Ryan  (1998)   ","https://www.filmaffinity.com/es/film824508.html"
"BE","23","La infancia de Iván  (1962)   ","https://www.filmaffinity.com/es/film821634.html"
"BE","24","1917  (2019)   ","https://www.filmaffinity.com/es/film145446.html"
"BE","25","La vergüenza  (1968)   ","https://www.filmaffinity.com/es/film384488.html"
"BE","26","La gran guerra  (1959)   ","https://www.filmaffinity.com/es/film661803.html"
"BE","27","Masacre: Ven y mira  (1985)   ","https://www.filmaffinity.com/es/film843365.html"
"BE","28","El puente  (1959)   ","https://www.filmaffinity.com/es/film356325.html"
"BE","29","Doce del patíbulo  (1967)   ","https://www.filmaffinity.com/es/film378896.html"
"BE","30","El submarino (Das Boot)  (1981)   ","https://www.filmaffinity.com/es/film247709.html"
"C-F","1","Metrópolis  (1927)   ","https://www.filmaffinity.com/es/film282386.html"
"C-F","2","Blade Runner  (1982)   ","https://www.filmaffinity.com/es/film358476.html"
"C-F","3","La guerra de las galaxias. Episodio V: El imperio contraataca  (1980)   ","https://www.filmaffinity.com/es/film605090.html"
"C-F","4","Alien, el octavo pasajero  (1979)   ","https://www.filmaffinity.com/es/film708792.html"
"C-F","5","Origen  (2010)   ","https://www.filmaffinity.com/es/film971380.html"
"C-F","6","Matrix  (1999)   ","https://www.filmaffinity.com/es/film932476.html"
"C-F","7","La guerra de las galaxias. Episodio IV: Una nueva esperanza  (1977)   ","https://www.filmaffinity.com/es/film712041.html"
"C-F","8","Stalker  (1979)   ","https://www.filmaffinity.com/es/film534365.html"
"C-F","9","WALL•E  (2008)   ","https://www.filmaffinity.com/es/film744679.html"
"C-F","10","La guerra de las galaxias. Episodio VI: El retorno del Jedi  (1983)   ","https://www.filmaffinity.com/es/film226172.html"
"C-F","11","Black Mirror: Blanca Navidad (TV) (2014)   ","https://www.filmaffinity.com/es/film992177.html"
"C-F","12","El muelle (La Jetée)  (1962)   ","https://www.filmaffinity.com/es/film677007.html"
"C-F","13","Ghost in the Shell: Stand Alone Complex - El hombre que ríe  (2005)   ","https://www.filmaffinity.com/es/film432464.html"
"C-F","14","Interstellar  (2014)   ","https://www.filmaffinity.com/es/film704416.html"
"C-F","15","2001: Una odisea del espacio  (1968)   ","https://www.filmaffinity.com/es/film171099.html"
"C-F","16","Viaje a la Luna (C) (1902)   ","https://www.filmaffinity.com/es/film363136.html"
"C-F","17","The End of Evangelion  (1997)   ","https://www.filmaffinity.com/es/film736034.html"
"C-F","18","Detroit: Become Human  (2018)   ","https://www.filmaffinity.com/es/film416040.html"
"C-F","19","The Vanishment of Haruhi Suzumiya  (2010)   ","https://www.filmaffinity.com/es/film579842.html"
"C-F","20","Ghost in the Shell: Stand Alone Complex 2nd GiG - Individual Eleven  (2006)   ","https://www.filmaffinity.com/es/film296922.html"
"C-F","21","Nausicaä del Valle del Viento  (1984)   ","https://www.filmaffinity.com/es/film313630.html"
"C-F","22","Evangelion 2.0 You Can (Not) Advance  (2009)   ","https://www.filmaffinity.com/es/film913779.html"
"C-F","23","Vincent (C) (1982)   ","https://www.filmaffinity.com/es/film660984.html"
"C-F","24","La invasión de los ladrones de cuerpos  (1956)   ","https://www.filmaffinity.com/es/film826070.html"
"C-F","25","Akira  (1988)   ","https://www.filmaffinity.com/es/film144113.html"
"C-F","26","The Time Element (TV) (1958)   ","https://www.filmaffinity.com/es/film449203.html"
"C-F","27","¡Olvídate de mí!  (2004)   ","https://www.filmaffinity.com/es/film982810.html"
"C-F","28","El increíble hombre menguante  (1957)   ","https://www.filmaffinity.com/es/film607561.html"
"C-F","29","El planeta de los simios  (1968)   ","https://www.filmaffinity.com/es/film674289.html"
"C-F","30","Ghost in the Shell  (1995)   ","https://www.filmaffinity.com/es/film523268.html"
"F-N","1","El crepúsculo de los dioses  (1950)   ","https://www.filmaffinity.com/es/film536488.html"
"F-N","2","Perdición  (1944)   ","https://www.filmaffinity.com/es/film207165.html"
"F-N","3","El infierno del odio  (1963)   ","https://www.filmaffinity.com/es/film914275.html"
"F-N","4","Perversidad  (1945)   ","https://www.filmaffinity.com/es/film755307.html"
"F-N","5","El tercer hombre  (1949)   ","https://www.filmaffinity.com/es/film357391.html"
"F-N","6","Sed de mal  (1958)   ","https://www.filmaffinity.com/es/film127610.html"
"F-N","7","Los sobornados  (1953)   ","https://www.filmaffinity.com/es/film718330.html"
"F-N","8","Laura  (1944)   ","https://www.filmaffinity.com/es/film933523.html"
"F-N","9","La noche del cazador  (1955)   ","https://www.filmaffinity.com/es/film488593.html"
"F-N","10","El sueño eterno  (1946)   ","https://www.filmaffinity.com/es/film683323.html"
"F-N","11","Al rojo vivo  (1949)   ","https://www.filmaffinity.com/es/film146984.html"
"F-N","12","Encadenados  (1946)   ","https://www.filmaffinity.com/es/film144054.html"
"F-N","13","La mujer del cuadro  (1944)   ","https://www.filmaffinity.com/es/film729872.html"
"F-N","14","Retorno al pasado  (1947)   ","https://www.filmaffinity.com/es/film309712.html"
"F-N","15","La jungla de asfalto  (1950)   ","https://www.filmaffinity.com/es/film920993.html"
"F-N","16","Rififi  (1955)   ","https://www.filmaffinity.com/es/film482723.html"
"F-N","17","Los violentos años veinte  (1939)   ","https://www.filmaffinity.com/es/film732503.html"
"F-N","18","Soy un fugitivo  (1932)   ","https://www.filmaffinity.com/es/film453752.html"
"F-N","19","El halcón maltés  (1941)   ","https://www.filmaffinity.com/es/film174261.html"
"F-N","20","El gran carnaval  (1951)   ","https://www.filmaffinity.com/es/film856492.html"
"F-N","21","Atraco perfecto  (1956)   ","https://www.filmaffinity.com/es/film394545.html"
"F-N","22","Tener y no tener  (1944)   ","https://www.filmaffinity.com/es/film157068.html"
"F-N","23","En un lugar solitario  (1950)   ","https://www.filmaffinity.com/es/film600487.html"
"F-N","24","Chinatown  (1974)   ","https://www.filmaffinity.com/es/film786390.html"
"F-N","25","Cayo Largo  (1948)   ","https://www.filmaffinity.com/es/film600727.html"
"F-N","26","Forajidos  (1946)   ","https://www.filmaffinity.com/es/film566080.html"
"F-N","27","Scarface, el terror del Hampa  (1932)   ","https://www.filmaffinity.com/es/film124591.html"
"F-N","28","Muerte entre las flores  (1990)   ","https://www.filmaffinity.com/es/film374677.html"
"F-N","29","Extraños en un tren  (1951)   ","https://www.filmaffinity.com/es/film966902.html"
"F-N","30","Muerte de un ciclista  (1955)   ","https://www.filmaffinity.com/es/film406123.html"
"CO","1","Luces de la ciudad  (1931)   ","https://www.filmaffinity.com/es/film750301.html"
"CO","2","El gran dictador  (1940)   ","https://www.filmaffinity.com/es/film155010.html"
"CO","3","Tiempos modernos  (1936)   ","https://www.filmaffinity.com/es/film726746.html"
"CO","4","El golpe  (1973)   ","https://www.filmaffinity.com/es/film385464.html"
"CO","5","Ser o no ser  (1942)   ","https://www.filmaffinity.com/es/film684718.html"
"CO","6","La vida es bella  (1997)   ","https://www.filmaffinity.com/es/film594480.html"
"CO","7","El apartamento  (1960)   ","https://www.filmaffinity.com/es/film795770.html"
"CO","8","El chico  (1921)   ","https://www.filmaffinity.com/es/film344683.html"
"CO","9","La quimera del oro  (1925)   ","https://www.filmaffinity.com/es/film811454.html"
"CO","10","Cinema Paradiso  (1988)   ","https://www.filmaffinity.com/es/film420972.html"
"CO","11","Con faldas y a lo loco  (1959)   ","https://www.filmaffinity.com/es/film353180.html"
"CO","12","Una noche en la ópera  (1935)   ","https://www.filmaffinity.com/es/film514584.html"
"CO","13","El maquinista de La General  (1926)   ","https://www.filmaffinity.com/es/film228751.html"
"CO","14","El verdugo  (1963)   ","https://www.filmaffinity.com/es/film411856.html"
"CO","15","Uno, dos, tres  (1961)   ","https://www.filmaffinity.com/es/film459265.html"
"CO","16","Forrest Gump  (1994)   ","https://www.filmaffinity.com/es/film444796.html"
"CO","17","Plácido  (1961)   ","https://www.filmaffinity.com/es/film895672.html"
"CO","18","El moderno Sherlock Holmes  (1924)   ","https://www.filmaffinity.com/es/film643373.html"
"CO","19","Primera plana  (1974)   ","https://www.filmaffinity.com/es/film159596.html"
